i,Ebeam,x,y,z,Q2,pT,obs,value,stat,systrel,systabs,target,hadron,Experiment
82,11.0,0.206148,0.595777,0.426711,2.534088,0.241004,AUT,0.0,0.007253,0.070207,0.006633,proton,pi+,solid
83,11.0,0.243591,0.559875,0.430519,2.812209,0.235216,AUT,0.0,0.014351,0.070207,0.006488,proton,pi+,solid
84,11.0,0.170975,0.659194,0.424599,2.305628,0.493350,AUT,0.0,0.005654,0.070207,0.006793,proton,pi+,solid
85,11.0,0.225210,0.588923,0.427481,2.732035,0.484926,AUT,0.0,0.014216,0.070207,0.006556,proton,pi+,solid
86,11.0,0.175138,0.673403,0.425859,2.388778,0.732543,AUT,0.0,0.006466,0.070207,0.006775,proton,pi+,solid
87,11.0,0.176161,0.612028,0.473676,2.215925,0.255897,AUT,0.0,0.007350,0.070207,0.006750,proton,pi+,solid
88,11.0,0.213318,0.558687,0.475287,2.458194,0.236595,AUT,0.0,0.007338,0.070207,0.006586,proton,pi+,solid
89,11.0,0.254867,0.518622,0.477513,2.723334,0.229491,AUT,0.0,0.010010,0.070207,0.006432,proton,pi+,solid
90,11.0,0.180190,0.629396,0.474344,2.317218,0.492814,AUT,0.0,0.006224,0.070207,0.006732,proton,pi+,solid
91,11.0,0.242309,0.537545,0.476885,2.680310,0.485207,AUT,0.0,0.018635,0.070207,0.006476,proton,pi+,solid
92,11.0,0.184543,0.643254,0.475288,2.389510,0.750480,AUT,0.0,0.005652,0.070207,0.006715,proton,pi+,solid
93,11.0,0.183703,0.595916,0.523702,2.248335,0.252625,AUT,0.0,0.007112,0.070207,0.006695,proton,pi+,solid
94,11.0,0.227235,0.522064,0.524753,2.444520,0.234293,AUT,0.0,0.007393,0.070207,0.006512,proton,pi+,solid
95,11.0,0.276057,0.476493,0.526607,2.709562,0.229694,AUT,0.0,0.010409,0.070207,0.006344,proton,pi+,solid
96,11.0,0.191570,0.601044,0.524269,2.344656,0.492868,AUT,0.0,0.006669,0.070207,0.006661,proton,pi+,solid
97,11.0,0.268306,0.485163,0.526703,2.678947,0.485825,AUT,0.0,0.023953,0.070207,0.006369,proton,pi+,solid
98,11.0,0.191396,0.622328,0.524802,2.386506,0.761908,AUT,0.0,0.005618,0.070207,0.006666,proton,pi+,solid
99,11.0,0.191522,0.580311,0.573794,2.280066,0.251452,AUT,0.0,0.007163,0.070207,0.006637,proton,pi+,solid
100,11.0,0.246884,0.485676,0.574467,2.467093,0.233435,AUT,0.0,0.007354,0.070207,0.006418,proton,pi+,solid
101,11.0,0.307855,0.433411,0.576387,2.749148,0.233434,AUT,0.0,0.013947,0.070207,0.006226,proton,pi+,solid
102,11.0,0.203802,0.573907,0.574271,2.367072,0.492763,AUT,0.0,0.007225,0.070207,0.006588,proton,pi+,solid
103,11.0,0.299847,0.439209,0.576099,2.713254,0.484285,AUT,0.0,0.023883,0.070207,0.006249,proton,pi+,solid
104,11.0,0.192918,0.616295,0.574345,2.382936,0.767323,AUT,0.0,0.006416,0.070207,0.006636,proton,pi+,solid
105,11.0,0.201370,0.559891,0.623838,2.307374,0.250193,AUT,0.0,0.007049,0.070207,0.006569,proton,pi+,solid
106,11.0,0.275110,0.446844,0.623901,2.522721,0.233762,AUT,0.0,0.007762,0.070207,0.006301,proton,pi+,solid
107,11.0,0.188207,0.606201,0.624055,2.326253,0.569832,AUT,0.0,0.006863,0.070207,0.006625,proton,pi+,solid
108,11.0,0.262174,0.475032,0.623231,2.558581,0.524077,AUT,0.0,0.015572,0.070207,0.006340,proton,pi+,solid
109,11.0,0.175062,0.668029,0.624023,2.367185,0.935430,AUT,0.0,0.011300,0.070207,0.006686,proton,pi+,solid
110,11.0,0.213131,0.537735,0.673783,2.335976,0.248485,AUT,0.0,0.007126,0.070207,0.006493,proton,pi+,solid
111,11.0,0.284922,0.442200,0.671517,2.596638,0.225085,AUT,0.0,0.012552,0.070207,0.006240,proton,pi+,solid
112,11.0,0.201387,0.582686,0.673524,2.378714,0.561859,AUT,0.0,0.007278,0.070207,0.006543,proton,pi+,solid
