idx	Nuv	auv	buv	Ndv	adv	bdv	Nub	Ndb	M1
1425	1.6963E-01	5.9993E-01	5.0051E+00	-4.5391E-01	1.9313E+00	1.0751E+01	7.0561E-02	-1.3233E-01	1.7559E+00
1426	1.8880E-01	4.2378E-01	5.8677E+00	-3.9527E-01	2.7329E+00	2.3901E+01	5.4446E-02	-1.3440E-01	1.4754E+00
1427	1.7622E-01	9.3404E-01	8.7111E+00	-4.2361E-01	3.1094E+00	2.4276E+01	5.2780E-02	-1.2734E-01	1.2624E+00
1428	1.6758E-01	3.4966E-01	4.2123E+00	-4.2781E-01	2.3996E+00	1.5774E+01	6.4409E-02	-1.5098E-01	1.2461E+00
1429	2.8012E-01	8.4959E-01	6.5070E+00	-6.7609E-01	3.4170E+00	2.4056E+01	7.7205E-02	-2.0259E-01	3.0000E+00
1430	1.7660E-01	2.5284E-01	5.0655E+00	-2.8056E-01	2.3233E+00	2.5000E+01	5.8365E-02	-1.3716E-01	1.7114E+00
1431	2.5251E-01	5.5405E-01	4.1246E+00	-6.2801E-01	2.5178E+00	1.6285E+01	1.1063E-01	-2.3315E-01	3.0000E+00
1432	1.8582E-01	5.8063E-01	4.3067E+00	-4.6635E-01	3.3023E+00	2.5000E+01	6.1589E-02	-1.4318E-01	1.1532E+00
1433	1.8049E-01	5.7456E-01	5.7691E+00	-3.7716E-01	2.7293E+00	2.5000E+01	5.7509E-02	-1.2807E-01	1.6659E+00
1434	1.9760E-01	1.7296E+00	1.2213E+01	-5.1314E-01	3.6614E+00	2.2922E+01	2.9810E-02	-7.9778E-02	1.3601E+00
1435	1.6104E-01	2.9274E-01	3.3009E+00	-4.0013E-01	1.6672E+00	9.6409E+00	7.5895E-02	-1.3511E-01	1.0587E+00
1436	1.7735E-01	1.2494E-01	2.7774E-01	-5.3997E-01	1.2872E+00	3.8757E+00	6.4159E-02	-1.3480E-01	1.5161E+00
1437	1.8060E-01	7.1953E-01	5.7866E+00	-4.5564E-01	3.2628E+00	2.3385E+01	7.4027E-02	-1.5089E-01	1.7366E+00
1438	1.6715E-01	6.2252E-01	6.0108E+00	-3.9647E-01	2.7053E+00	1.9736E+01	5.9313E-02	-1.3228E-01	1.0969E+00
1439	2.5261E-01	1.2151E+00	8.5193E+00	-6.6805E-01	3.4697E+00	2.3194E+01	8.7179E-02	-1.7318E-01	2.4859E+00
1440	2.0745E-01	4.8745E-01	2.2466E+00	-5.1841E-01	1.8537E+00	8.6553E+00	5.4993E-02	-1.1774E-01	1.7427E+00
1441	2.0356E-01	1.3221E+00	9.6318E+00	-4.2652E-01	2.7295E+00	1.9029E+01	5.5109E-02	-1.2248E-01	1.7005E+00
1442	1.7795E-01	3.9851E-01	4.6860E+00	-4.0748E-01	1.6884E+00	1.0541E+01	5.7064E-02	-1.1941E-01	1.1914E+00
1443	1.5711E-01	4.9940E-01	3.8822E+00	-3.5448E-01	2.6288E+00	2.2269E+01	5.9024E-02	-1.0837E-01	1.2207E+00
1444	1.8407E-01	7.4588E-01	5.3388E+00	-4.0094E-01	2.6868E+00	2.1334E+01	4.4618E-02	-1.1332E-01	1.6283E+00
1445	2.5745E-01	1.2906E-02	9.6323E-01	-5.8222E-01	1.1147E+00	5.7571E+00	3.7350E-02	-1.4152E-01	2.3919E+00
1446	1.9053E-01	5.8502E-01	6.2389E+00	-4.6074E-01	2.8086E+00	2.5000E+01	7.0503E-02	-1.4173E-01	1.7116E+00
1447	1.6025E-01	1.3848E-10	1.8268E-01	-3.9279E-01	1.2467E+00	7.0531E+00	7.6593E-02	-1.3380E-01	1.0300E+00
1448	1.9608E-01	3.5163E-01	2.7682E+00	-4.5187E-01	2.2145E+00	1.5716E+01	7.7454E-02	-1.5990E-01	1.8585E+00
