idx	Nuv	auv	buv	Ndv	adv	bdv	Nub	Ndb	M1
4106	1.6571E-01	3.9930E-01	3.9184E+00	-4.1089E-01	2.3116E+00	1.5506E+01	6.2865E-02	-1.3108E-01	1.2667E+00
4107	1.7515E-01	5.0735E-01	4.3961E+00	-4.0914E-01	2.2251E+00	1.4918E+01	6.3080E-02	-1.2684E-01	1.2816E+00
4108	1.6071E-01	4.7342E-01	4.2356E+00	-4.1550E-01	2.4087E+00	1.6336E+01	5.0324E-02	-1.2529E-01	1.3235E+00
4109	1.7804E-01	6.5088E-01	4.7525E+00	-4.1480E-01	2.4032E+00	1.6210E+01	6.2183E-02	-1.2923E-01	1.3267E+00
4110	1.6998E-01	6.1128E-01	4.7142E+00	-4.1369E-01	2.3442E+00	1.5746E+01	6.5079E-02	-1.2709E-01	1.2915E+00
4111	1.6414E-01	6.0071E-01	5.0385E+00	-4.0906E-01	2.3501E+00	1.5808E+01	7.2643E-02	-1.2944E-01	1.2910E+00
4112	1.7665E-01	7.1181E-01	5.0891E+00	-4.1472E-01	2.3739E+00	1.5873E+01	6.6864E-02	-1.2887E-01	1.3406E+00
4113	1.7214E-01	6.3936E-01	4.8522E+00	-4.1962E-01	2.4403E+00	1.6592E+01	5.9875E-02	-1.2596E-01	1.3214E+00
4114	1.7926E-01	7.5782E-01	6.9573E+00	-4.0969E-01	2.2981E+00	1.5691E+01	5.5996E-02	-1.2450E-01	1.2958E+00
4115	1.8059E-01	2.2962E-01	3.7736E+00	-4.1132E-01	2.3916E+00	1.6294E+01	4.4601E-02	-1.3098E-01	1.3608E+00
4116	1.7805E-01	6.1811E-01	4.6954E+00	-4.1306E-01	2.3614E+00	1.5866E+01	5.3177E-02	-1.2817E-01	1.3567E+00
4117	1.7373E-01	6.2058E-01	5.8729E+00	-4.1290E-01	2.4292E+00	1.6658E+01	5.4273E-02	-1.2701E-01	1.3330E+00
4118	1.6190E-01	5.4122E-01	4.5258E+00	-4.1412E-01	2.3874E+00	1.6123E+01	7.1200E-02	-1.3158E-01	1.3219E+00
4119	1.5604E-01	6.7376E-01	5.1899E+00	-4.1471E-01	2.4433E+00	1.6559E+01	6.6678E-02	-1.2523E-01	1.3143E+00
4120	1.7049E-01	7.3910E-01	6.9857E+00	-4.1348E-01	2.3985E+00	1.6513E+01	6.7667E-02	-1.2735E-01	1.3086E+00
4121	1.8194E-01	9.6111E-01	8.1240E+00	-4.1957E-01	2.4094E+00	1.6247E+01	5.7156E-02	-1.2635E-01	1.3578E+00
4122	1.7208E-01	5.8965E-01	5.1302E+00	-4.1305E-01	2.3452E+00	1.5749E+01	6.6612E-02	-1.3035E-01	1.3070E+00
4123	1.8750E-01	6.0473E-01	5.0453E+00	-4.2186E-01	2.3927E+00	1.6181E+01	4.7608E-02	-1.2781E-01	1.3653E+00
4124	1.7348E-01	1.3524E+00	1.0769E+01	-4.1715E-01	2.4054E+00	1.6410E+01	7.3944E-02	-1.2266E-01	1.3158E+00
4125	1.6815E-01	6.4146E-01	4.7668E+00	-4.1062E-01	2.3494E+00	1.5891E+01	7.1654E-02	-1.2769E-01	1.2890E+00
4126	1.7538E-01	5.6401E-01	4.9197E+00	-4.1119E-01	2.3545E+00	1.5896E+01	6.5327E-02	-1.3014E-01	1.2990E+00
4127	1.7840E-01	7.5462E-01	5.8944E+00	-4.1504E-01	2.4164E+00	1.6513E+01	5.5612E-02	-1.2727E-01	1.2685E+00
4128	1.6954E-01	6.4936E-01	5.1333E+00	-4.1883E-01	2.3956E+00	1.6163E+01	5.3070E-02	-1.2548E-01	1.3556E+00
4129	1.5557E-01	4.2388E-01	4.2485E+00	-4.1231E-01	2.4611E+00	1.6663E+01	6.4474E-02	-1.3408E-01	1.3271E+00
4130	1.6411E-01	5.9659E-01	4.9086E+00	-4.1377E-01	2.3786E+00	1.5922E+01	6.4371E-02	-1.2864E-01	1.3499E+00
4131	1.7653E-01	4.8636E-01	4.0278E+00	-4.0655E-01	2.3027E+00	1.5530E+01	5.0208E-02	-1.3062E-01	1.3271E+00
4132	1.6842E-01	7.5089E-01	6.1143E+00	-4.1367E-01	2.4468E+00	1.6492E+01	5.5413E-02	-1.2774E-01	1.3090E+00
4133	1.7571E-01	4.3824E-01	5.0247E+00	-4.1235E-01	2.3630E+00	1.5897E+01	3.9460E-02	-1.2549E-01	1.3640E+00
4134	1.6918E-01	6.5241E-01	4.2046E+00	-4.1946E-01	2.4664E+00	1.6477E+01	8.6916E-02	-1.3485E-01	1.3352E+00
4135	1.7913E-01	5.3420E-01	4.6328E+00	-4.1400E-01	2.3019E+00	1.5536E+01	6.1395E-02	-1.2834E-01	1.3161E+00
4136	1.6247E-01	4.9353E-01	4.4200E+00	-4.0403E-01	2.2980E+00	1.5452E+01	5.6362E-02	-1.3139E-01	1.2964E+00
4137	1.8544E-01	6.5735E-01	4.6751E+00	-4.1900E-01	2.2608E+00	1.5125E+01	6.3647E-02	-1.2894E-01	1.3659E+00
4138	1.7639E-01	6.4761E-01	5.5890E+00	-4.1616E-01	2.3253E+00	1.5729E+01	4.4132E-02	-1.2518E-01	1.2701E+00
4139	1.5887E-01	7.4982E-01	7.7685E+00	-4.0982E-01	2.4603E+00	1.6832E+01	4.8856E-02	-1.2476E-01	1.2865E+00
4140	1.7420E-01	7.2774E-01	5.7564E+00	-4.1926E-01	2.3947E+00	1.6145E+01	5.7093E-02	-1.2806E-01	1.3720E+00
