kt	u	d	ub	db	uv	dv	du	dd	dub	ddb	duv	ddv
8.000000E-01	-9.190554E-02	9.853455E-02	-2.813989E-03	8.901935E-03	-8.955628E-02	9.009998E-02	1.143888E-02	3.159957E-02	7.111378E-04	1.339414E-03	1.154141E-02	3.195610E-02
8.100000E-01	-8.851504E-02	9.492997E-02	-2.708560E-03	8.569209E-03	-8.625427E-02	8.681126E-02	1.113876E-02	3.059509E-02	6.806446E-04	1.271239E-03	1.124160E-02	3.093327E-02
8.200000E-01	-8.521283E-02	9.141802E-02	-2.605946E-03	8.245328E-03	-8.303815E-02	8.360675E-02	1.086194E-02	2.961905E-02	6.515307E-04	1.207508E-03	1.096323E-02	2.993791E-02
8.300000E-01	-8.199849E-02	8.799831E-02	-2.506128E-03	7.930244E-03	-7.990755E-02	8.048610E-02	1.060589E-02	2.867067E-02	6.237493E-04	1.148064E-03	1.070402E-02	2.896941E-02
8.400000E-01	-7.887151E-02	8.467036E-02	-2.409089E-03	7.623898E-03	-7.686196E-02	7.744889E-02	1.036820E-02	2.774918E-02	5.972528E-04	1.092737E-03	1.046178E-02	2.802716E-02
8.500000E-01	-7.583128E-02	8.143357E-02	-2.314805E-03	7.326221E-03	-7.390078E-02	7.449459E-02	1.014656E-02	2.685380E-02	5.719929E-04	1.041350E-03	1.023440E-02	2.711057E-02
8.600000E-01	-7.287708E-02	7.828723E-02	-2.223252E-03	7.037135E-03	-7.102333E-02	7.162257E-02	9.938763E-03	2.598379E-02	5.479210E-04	9.937166E-04	1.001994E-02	2.621902E-02
8.700000E-01	-7.000811E-02	7.523055E-02	-2.134401E-03	6.756553E-03	-6.822883E-02	6.883211E-02	9.742795E-03	2.513839E-02	5.249882E-04	9.496397E-04	9.816543E-03	2.535194E-02
8.800000E-01	-6.722349E-02	7.226265E-02	-2.048222E-03	6.484378E-03	-6.551641E-02	6.612243E-02	9.556777E-03	2.431689E-02	5.031457E-04	9.089166E-04	9.622541E-03	2.450873E-02
8.900000E-01	-6.452225E-02	6.938255E-02	-1.964681E-03	6.220509E-03	-6.288515E-02	6.349266E-02	9.379006E-03	2.351859E-02	4.823447E-04	8.713377E-04	9.436399E-03	2.368881E-02
9.000000E-01	-6.190336E-02	6.658921E-02	-1.883744E-03	5.964835E-03	-6.033404E-02	6.094184E-02	9.207949E-03	2.274280E-02	4.625372E-04	8.366890E-04	9.256735E-03	2.289163E-02
9.100000E-01	-5.936570E-02	6.388151E-02	-1.805372E-03	5.717239E-03	-5.786200E-02	5.846898E-02	9.042242E-03	2.198886E-02	4.436753E-04	8.047538E-04	9.082323E-03	2.211662E-02
9.200000E-01	-5.690810E-02	6.125824E-02	-1.729527E-03	5.477599E-03	-5.546788E-02	5.607298E-02	8.880686E-03	2.125614E-02	4.257122E-04	7.753152E-04	8.912082E-03	2.136324E-02
9.300000E-01	-5.452933E-02	5.871815E-02	-1.656166E-03	5.245785E-03	-5.315051E-02	5.375273E-02	8.722241E-03	2.054402E-02	4.086020E-04	7.481577E-04	8.745070E-03	2.063096E-02
9.400000E-01	-5.222812E-02	5.625994E-02	-1.585248E-03	5.021664E-03	-5.090862E-02	5.150704E-02	8.566016E-03	1.985190E-02	3.922999E-04	7.230699E-04	8.580482E-03	1.991926E-02
