kt	u	d	ub	db	uv	dv	du	dd	dub	ddb	duv	ddv
9.400000E-01	-5.331230E-02	5.849805E-02	-1.615169E-03	5.105475E-03	-5.196851E-02	5.367287E-02	4.108326E-03	8.265789E-04	2.648194E-04	1.108490E-04	4.107207E-03	8.764609E-04
9.500000E-01	-5.102139E-02	5.598392E-02	-1.545747E-03	4.886046E-03	-4.973549E-02	5.136624E-02	3.937177E-03	7.965901E-04	2.534263E-04	1.061574E-04	3.935952E-03	8.435125E-04
9.600000E-01	-4.880624E-02	5.355294E-02	-1.478622E-03	4.673875E-03	-4.757630E-02	4.913590E-02	3.771552E-03	7.679307E-04	2.424120E-04	1.016529E-04	3.770226E-03	8.119080E-04
9.700000E-01	-4.666558E-02	5.120373E-02	-1.413755E-03	4.468841E-03	-4.548971E-02	4.698057E-02	3.611359E-03	7.405261E-04	2.317701E-04	9.732916E-05	3.609937E-03	7.815862E-04
9.800000E-01	-4.459809E-02	4.893482E-02	-1.351106E-03	4.270816E-03	-4.347443E-02	4.489891E-02	3.456503E-03	7.143041E-04	2.214938E-04	9.318028E-05	3.454989E-03	7.524870E-04
9.900000E-01	-4.260239E-02	4.674473E-02	-1.290632E-03	4.079669E-03	-4.152913E-02	4.288955E-02	3.306885E-03	6.891950E-04	2.115761E-04	8.920021E-05	3.305284E-03	7.245520E-04
1.000000E+00	-4.067710E-02	4.463191E-02	-1.232293E-03	3.895268E-03	-3.965245E-02	4.095109E-02	3.162404E-03	6.651318E-04	2.020100E-04	8.538298E-05	3.160721E-03	6.977248E-04
1.010000E+00	-3.882077E-02	4.259479E-02	-1.176044E-03	3.717473E-03	-3.784299E-02	3.908207E-02	3.022958E-03	6.420503E-04	1.927881E-04	8.172268E-05	3.021197E-03	6.719507E-04
1.020000E+00	-3.703195E-02	4.063176E-02	-1.121841E-03	3.546145E-03	-3.609933E-02	3.728103E-02	2.888440E-03	6.198897E-04	1.839030E-04	7.821351E-05	2.886607E-03	6.471773E-04
1.030000E+00	-3.530915E-02	3.874120E-02	-1.069640E-03	3.381142E-03	-3.442001E-02	3.554647E-02	2.758745E-03	5.985923E-04	1.753472E-04	7.484974E-05	2.756845E-03	6.233543E-04
1.040000E+00	-3.365087E-02	3.692145E-02	-1.019393E-03	3.222319E-03	-3.280357E-02	3.387686E-02	2.633763E-03	5.781037E-04	1.671130E-04	7.162576E-05	2.631801E-03	6.004336E-04
1.050000E+00	-3.205556E-02	3.517082E-02	-9.710555E-04	3.069530E-03	-3.124852E-02	3.227068E-02	2.513386E-03	5.583729E-04	1.591927E-04	6.853608E-05	2.511367E-03	5.783694E-04
1.060000E+00	-3.052171E-02	3.348764E-02	-9.245803E-04	2.922627E-03	-2.975337E-02	3.072637E-02	2.397502E-03	5.393523E-04	1.515786E-04	6.557533E-05	2.395432E-03	5.571185E-04
1.070000E+00	-2.904775E-02	3.187020E-02	-8.799205E-04	2.781462E-03	-2.831659E-02	2.924237E-02	2.286002E-03	5.209977E-04	1.442628E-04	6.273829E-05	2.283885E-03	5.366399E-04
1.080000E+00	-2.763213E-02	3.031680E-02	-8.370288E-04	2.645886E-03	-2.693668E-02	2.781712E-02	2.178773E-03	5.032680E-04	1.372374E-04	6.001987E-05	2.176615E-03	5.168947E-04
1.090000E+00	-2.627329E-02	2.882571E-02	-7.958580E-04	2.515748E-03	-2.561212E-02	2.644904E-02	2.075704E-03	4.861257E-04	1.304946E-04	5.741514E-05	2.073510E-03	4.978467E-04
1.100000E+00	-2.496967E-02	2.739523E-02	-7.563608E-04	2.390901E-03	-2.434137E-02	2.513657E-02	1.976684E-03	4.695360E-04	1.240266E-04	5.491933E-05	1.974458E-03	4.794619E-04
1.110000E+00	-2.371972E-02	2.602364E-02	-7.184898E-04	2.271193E-03	-2.312293E-02	2.387813E-02	1.881600E-03	4.534673E-04	1.178254E-04	5.252783E-05	1.879348E-03	4.617084E-04
1.120000E+00	-2.252187E-02	2.470924E-02	-6.821980E-04	2.156477E-03	-2.195528E-02	2.267215E-02	1.790342E-03	4.378908E-04	1.118834E-04	5.023617E-05	1.788069E-03	4.445564E-04
1.130000E+00	-2.137458E-02	2.345033E-02	-6.474384E-04	2.046605E-03	-2.083692E-02	2.151708E-02	1.702799E-03	4.227804E-04	1.061926E-04	4.804009E-05	1.700509E-03	4.279784E-04
1.140000E+00	-2.027631E-02	2.224522E-02	-6.141645E-04	1.941428E-03	-1.976633E-02	2.041138E-02	1.618862E-03	4.081126E-04	1.007455E-04	4.593545E-05	1.616560E-03	4.119486E-04
1.150000E+00	-1.922555E-02	2.109224E-02	-5.823300E-04	1.840800E-03	-1.874205E-02	1.935350E-02	1.538422E-03	3.938661E-04	9.553435E-05	4.391831E-05	1.536112E-03	3.964434E-04
1.160000E+00	-1.822077E-02	1.998973E-02	-5.518891E-04	1.744578E-03	-1.776259E-02	1.834192E-02	1.461370E-03	3.800219E-04	9.055158E-05	4.198487E-05	1.459056E-03	3.814406E-04
1.170000E+00	-1.726048E-02	1.893606E-02	-5.227966E-04	1.652617E-03	-1.682650E-02	1.737515E-02	1.387600E-03	3.665629E-04	8.578974E-05	4.013152E-05	1.385287E-03	3.669199E-04
1.180000E+00	-1.634321E-02	1.792959E-02	-4.950076E-04	1.564777E-03	-1.593234E-02	1.645169E-02	1.317006E-03	3.534740E-04	8.124141E-05	3.835477E-05	1.314697E-03	3.528625E-04
1.190000E+00	-1.546750E-02	1.696873E-02	-4.684780E-04	1.480917E-03	-1.507868E-02	1.557007E-02	1.249485E-03	3.407415E-04	7.689933E-05	3.665133E-05	1.247184E-03	3.392510E-04
1.200000E+00	-1.463192E-02	1.605190E-02	-4.431644E-04	1.400901E-03	-1.426415E-02	1.472885E-02	1.184933E-03	3.283534E-04	7.275633E-05	3.501805E-05	1.182645E-03	3.260693E-04
1.210000E+00	-1.383504E-02	1.517756E-02	-4.190238E-04	1.324593E-03	-1.348734E-02	1.392661E-02	1.123250E-03	3.162992E-04	6.880534E-05	3.345191E-05	1.120978E-03	3.133028E-04
1.220000E+00	-1.307550E-02	1.434418E-02	-3.960142E-04	1.251859E-03	-1.274692E-02	1.316195E-02	1.064337E-03	3.045691E-04	6.503944E-05	3.195005E-05	1.062083E-03	3.009376E-04
1.230000E+00	-1.235191E-02	1.355026E-02	-3.740943E-04	1.182570E-03	-1.204155E-02	1.243350E-02	1.008096E-03	2.931549E-04	6.145183E-05	3.050976E-05	1.005864E-03	2.889610E-04
1.240000E+00	-1.166295E-02	1.279434E-02	-3.532235E-04	1.116597E-03	-1.136993E-02	1.173991E-02	9.544319E-04	2.820489E-04	5.803586E-05	2.912845E-05	9.522242E-04	2.773614E-04
1.250000E+00	-1.100730E-02	1.207498E-02	-3.333623E-04	1.053815E-03	-1.073079E-02	1.107987E-02	9.032501E-04	2.712446E-04	5.478499E-05	2.780366E-05	9.010699E-04	2.661278E-04
1.260000E+00	-1.038369E-02	1.139077E-02	-3.144716E-04	9.941011E-04	-1.012287E-02	1.045207E-02	8.544593E-04	2.607357E-04	5.169285E-05	2.653305E-05	8.523090E-04	2.552500E-04
1.270000E+00	-9.790856E-03	1.074035E-02	-2.965137E-04	9.373353E-04	-9.544956E-03	9.855271E-03	8.079697E-04	2.505169E-04	4.875321E-05	2.531441E-05	8.058517E-04	2.447185E-04
1.280000E+00	-9.227585E-03	1.012236E-02	-2.794514E-04	8.834005E-04	-8.995858E-03	9.288232E-03	7.636936E-04	2.405832E-04	4.595999E-05	2.414562E-05	7.616100E-04	2.345243E-04
