i;obs;value;stat;syst1;Q2;x;z;pT;target;hadron
134;M_Hermes;1.547726;0.02464383;0.07234596;1.834674;0.09568023;0.3349779;0.2032193;deuteron;pi+
135;M_Hermes;1.956563;0.03095216;0.1296345;1.834674;0.09568023;0.3350873;0.3020482;deuteron;pi+
136;M_Hermes;1.894248;0.03391308;0.1298368;1.834674;0.09568023;0.3360125;0.4005887;deuteron;pi+
137;M_Hermes;1.365071;0.02204565;0.06219339;1.834674;0.09568023;0.3361675;0.5200269;deuteron;pi+
138;M_Hermes;0.5977008;0.01174717;0.03272407;1.834674;0.09568023;0.3384726;0.6873302;deuteron;pi+
139;M_Hermes;0.096486;0.003844777;0.005546743;1.834674;0.09568023;0.3434213;0.9366077;deuteron;pi+
140;M_Hermes;0.4122353;0.008089479;0.01395274;1.834674;0.09568023;0.4200001;0.1009333;deuteron;pi+
141;M_Hermes;0.8688996;0.01487495;0.0701355;1.834674;0.09568023;0.4203739;0.2030719;deuteron;pi+
142;M_Hermes;1.096176;0.01850978;0.1154769;1.834674;0.09568023;0.4203166;0.3008107;deuteron;pi+
143;M_Hermes;1.077319;0.02108169;0.1187816;1.834674;0.09568023;0.4215361;0.4004814;deuteron;pi+
144;M_Hermes;0.9069097;0.01602865;0.07892981;1.834674;0.09568023;0.4232713;0.5226439;deuteron;pi+
145;M_Hermes;0.4523459;0.009309649;0.008786471;1.834674;0.09568023;0.4262849;0.687489;deuteron;pi+
146;M_Hermes;0.0873711;0.002649873;0.00175388;1.834674;0.09568023;0.4290696;0.9271216;deuteron;pi+
147;M_Hermes;0.2093456;0.005352722;0.01300042;1.834674;0.09568023;0.5310592;0.1023137;deuteron;pi+
148;M_Hermes;0.4350489;0.009475353;0.04709857;1.834674;0.09568023;0.5312194;0.2024453;deuteron;pi+
149;M_Hermes;0.5660125;0.0117488;0.07537494;1.834674;0.09568023;0.5319149;0.3012686;deuteron;pi+
150;M_Hermes;0.6411525;0.01356994;0.08954063;1.834674;0.09568023;0.5330657;0.4009289;deuteron;pi+
151;M_Hermes;0.572074;0.01108971;0.06611179;1.834674;0.09568023;0.533393;0.5232779;deuteron;pi+
152;M_Hermes;0.3372784;0.007746286;0.0121401;1.834674;0.09568023;0.5362996;0.6873232;deuteron;pi+
153;M_Hermes;0.08212849;0.002365384;0.003012306;1.834674;0.09568023;0.5366559;0.9192915;deuteron;pi+
154;M_Hermes;0.09041304;0.003064604;0.004864474;1.834674;0.09568023;0.6966864;0.1020593;deuteron;pi+
155;M_Hermes;0.2175942;0.005638957;0.0216372;1.834674;0.09568023;0.6936873;0.203389;deuteron;pi+
156;M_Hermes;0.2870967;0.006596519;0.03640284;1.834674;0.09568023;0.6906169;0.3008295;deuteron;pi+
157;M_Hermes;0.292478;0.007277593;0.03870467;1.834674;0.09568023;0.6900868;0.3999731;deuteron;pi+
158;M_Hermes;0.2844511;0.005731657;0.0316678;1.834674;0.09568023;0.6909862;0.522124;deuteron;pi+
159;M_Hermes;0.1992646;0.00471843;0.008011832;1.834674;0.09568023;0.6897071;0.6903617;deuteron;pi+
160;M_Hermes;0.0618032;0.001716153;0.002342597;1.834674;0.09568023;0.689755;0.937808;deuteron;pi+
161;M_Hermes;0.04699319;0.001228193;0.002637678;1.834674;0.09568023;0.8958715;0.1007186;deuteron;pi+
162;M_Hermes;0.0755702;0.002205762;0.007673605;1.834674;0.09568023;0.8927154;0.2026154;deuteron;pi+
163;M_Hermes;0.08865972;0.002561222;0.01123106;1.834674;0.09568023;0.8858308;0.2984978;deuteron;pi+
164;M_Hermes;0.07452817;0.00255247;0.01000952;1.834674;0.09568023;0.8769476;0.399294;deuteron;pi+
165;M_Hermes;0.0572009;0.001877462;0.006392297;1.834674;0.09568023;0.8726618;0.5215296;deuteron;pi+
166;M_Hermes;0.04035034;0.001463967;0.001659793;1.834674;0.09568023;0.8613953;0.6874319;deuteron;pi+
167;M_Hermes;0.01485311;0.000670381;0.000592652;1.834674;0.09568023;0.8551444;0.9380541;deuteron;pi+
168;M_Hermes;3.456068;0.05018025;0.3373422;2.882131;0.1519989;0.1414249;0.1026041;deuteron;pi+
169;M_Hermes;7.282509;0.1013581;1.519046;2.882131;0.1519989;0.1417611;0.2030336;deuteron;pi+
170;M_Hermes;7.671923;0.107855;1.35413;2.882131;0.1519989;0.1440037;0.299608;deuteron;pi+
171;M_Hermes;5.420896;0.09144082;0.9266295;2.882131;0.1519989;0.1449414;0.3988474;deuteron;pi+
172;M_Hermes;3.117374;0.06918368;0.6021659;2.882131;0.1519989;0.1444358;0.5185592;deuteron;pi+
173;M_Hermes;0.8988836;0.06028011;0.03691778;2.882131;0.1519989;0.148264;0.6791089;deuteron;pi+
174;M_Hermes;0.08323329;0.03308444;0.003443304;2.882131;0.1519989;0.1570047;0.8838974;deuteron;pi+
175;M_Hermes;1.70367;0.03195696;0.2990135;2.882131;0.1519989;0.2235015;0.1011472;deuteron;pi+
176;M_Hermes;3.646221;0.06646659;0.454159;2.882131;0.1519989;0.2235557;0.2034896;deuteron;pi+
177;M_Hermes;4.210294;0.08425191;0.3939067;2.882131;0.1519989;0.2239483;0.3000338;deuteron;pi+
178;M_Hermes;3.42712;0.07647758;0.3035707;2.882131;0.1519989;0.2237912;0.3973015;deuteron;pi+
179;M_Hermes;1.949601;0.04533453;0.2082153;2.882131;0.1519989;0.2246689;0.5177553;deuteron;pi+
180;M_Hermes;0.7124453;0.02856554;0.1351597;2.882131;0.1519989;0.2245796;0.6810029;deuteron;pi+
181;M_Hermes;0.1225297;0.0148344;0.02341993;2.882131;0.1519989;0.223761;0.9069266;deuteron;pi+
182;M_Hermes;1.19008;0.02553688;0.1550482;2.882131;0.1519989;0.2735081;0.1011065;deuteron;pi+
183;M_Hermes;2.416919;0.04877695;0.1984797;2.882131;0.1519989;0.2735077;0.2027226;deuteron;pi+
184;M_Hermes;2.848738;0.06412323;0.1921507;2.882131;0.1519989;0.2740394;0.3007635;deuteron;pi+
185;M_Hermes;2.590478;0.0660746;0.1386006;2.882131;0.1519989;0.2742101;0.3988918;deuteron;pi+
186;M_Hermes;1.672947;0.04076291;0.1052756;2.882131;0.1519989;0.27439;0.5164989;deuteron;pi+
187;M_Hermes;0.5938304;0.02151722;0.08753931;2.882131;0.1519989;0.2751195;0.6831311;deuteron;pi+
188;M_Hermes;0.103342;0.008502709;0.01528644;2.882131;0.1519989;0.2782168;0.922874;deuteron;pi+
189;M_Hermes;0.7271009;0.01494648;0.0649852;2.882131;0.1519989;0.3345943;0.1011912;deuteron;pi+
190;M_Hermes;1.643852;0.02867967;0.09579932;2.882131;0.1519989;0.3346742;0.2031849;deuteron;pi+
191;M_Hermes;1.959954;0.036467;0.0699217;2.882131;0.1519989;0.3344019;0.3007659;deuteron;pi+
192;M_Hermes;1.891734;0.04121;0.05760993;2.882131;0.1519989;0.3347521;0.3996794;deuteron;pi+
193;M_Hermes;1.279348;0.02791492;0.04827437;2.882131;0.1519989;0.3349088;0.5186292;deuteron;pi+
194;M_Hermes;0.5457809;0.014922;0.0567085;2.882131;0.1519989;0.3366586;0.6826642;deuteron;pi+
195;M_Hermes;0.08728575;0.004745051;0.009145116;2.882131;0.1519989;0.3376484;0.9210004;deuteron;pi+
196;M_Hermes;0.421783;0.00981701;0.02337588;2.882131;0.1519989;0.4195475;0.1004499;deuteron;pi+
197;M_Hermes;0.8737837;0.01800816;0.02450943;2.882131;0.1519989;0.4199716;0.2027802;deuteron;pi+
198;M_Hermes;1.097482;0.02203191;0.0548423;2.882131;0.1519989;0.420119;0.3014863;deuteron;pi+
199;M_Hermes;1.095451;0.0247112;0.06071337;2.882131;0.1519989;0.4200055;0.3999159;deuteron;pi+
200;M_Hermes;0.8617734;0.01960753;0.03972452;2.882131;0.1519989;0.4223692;0.5218849;deuteron;pi+
201;M_Hermes;0.4471441;0.01154142;0.03058915;2.882131;0.1519989;0.4226736;0.6834241;deuteron;pi+
202;M_Hermes;0.08273861;0.003297978;0.005454356;2.882131;0.1519989;0.4255753;0.9140497;deuteron;pi+
203;M_Hermes;0.2171226;0.006786696;0.00604235;2.882131;0.1519989;0.5301305;0.1006959;deuteron;pi+
204;M_Hermes;0.4655956;0.01245972;0.02687992;2.882131;0.1519989;0.5302903;0.2032304;deuteron;pi+
205;M_Hermes;0.5376612;0.01430955;0.04601085;2.882131;0.1519989;0.5315977;0.3009366;deuteron;pi+
206;M_Hermes;0.5729541;0.01600078;0.05285613;2.882131;0.1519989;0.5309809;0.3993724;deuteron;pi+
207;M_Hermes;0.555713;0.01329973;0.03946698;2.882131;0.1519989;0.5324163;0.5228373;deuteron;pi+
208;M_Hermes;0.3274385;0.009565615;0.01547238;2.882131;0.1519989;0.5359215;0.6866625;deuteron;pi+
209;M_Hermes;0.07493599;0.002950623;0.002969841;2.882131;0.1519989;0.5368406;0.9243647;deuteron;pi+
210;M_Hermes;0.09640928;0.004184332;0.00297836;2.882131;0.1519989;0.6913349;0.1010925;deuteron;pi+
211;M_Hermes;0.1990796;0.00734185;0.01035542;2.882131;0.1519989;0.6905771;0.2035077;deuteron;pi+
212;M_Hermes;0.2374739;0.008396855;0.01846676;2.882131;0.1519989;0.6886568;0.302192;deuteron;pi+
213;M_Hermes;0.2632099;0.00883916;0.02278408;2.882131;0.1519989;0.6885353;0.399161;deuteron;pi+
214;M_Hermes;0.2424362;0.006785719;0.0150594;2.882131;0.1519989;0.6882655;0.5219785;deuteron;pi+
215;M_Hermes;0.1854738;0.00533509;0.008953745;2.882131;0.1519989;0.6884682;0.6894772;deuteron;pi+
216;M_Hermes;0.06423095;0.002175769;0.003262188;2.882131;0.1519989;0.6896633;0.932743;deuteron;pi+
217;M_Hermes;0.04378737;0.001841367;0.001268293;2.882131;0.1519989;0.8987903;0.09936467;deuteron;pi+
218;M_Hermes;0.086125;0.003529432;0.004295124;2.882131;0.1519989;0.8952977;0.2022782;deuteron;pi+
219;M_Hermes;0.0883067;0.003833455;0.006960327;2.882131;0.1519989;0.8866973;0.2996296;deuteron;pi+
220;M_Hermes;0.09699986;0.003972918;0.008308742;2.882131;0.1519989;0.8822632;0.3988326;deuteron;pi+
221;M_Hermes;0.05923831;0.00241993;0.003773861;2.882131;0.1519989;0.8747771;0.5182107;deuteron;pi+
222;M_Hermes;0.0389359;0.001734581;0.002031728;2.882131;0.1519989;0.8679691;0.6839473;deuteron;pi+
223;M_Hermes;0.01077896;0.000693598;0.000556964;2.882131;0.1519989;0.8615079;0.9301937;deuteron;pi+
224;M_Hermes;3.442558;0.0853193;0.143823;5.223411;0.2530129;0.1410646;0.1014692;deuteron;pi+
225;M_Hermes;7.711038;0.1902591;1.773487;5.223411;0.2530129;0.1413369;0.2018546;deuteron;pi+
226;M_Hermes;8.207373;0.2208811;1.822429;5.223411;0.2530129;0.1429061;0.2980687;deuteron;pi+
227;M_Hermes;5.541271;0.1811326;1.196035;5.223411;0.2530129;0.1441961;0.3974693;deuteron;pi+
228;M_Hermes;3.317116;0.1252921;0.6941025;5.223411;0.2530129;0.1442666;0.5154541;deuteron;pi+
229;M_Hermes;1.013383;0.1090041;0.04169831;5.223411;0.2530129;0.1484075;0.6844556;deuteron;pi+
230;M_Hermes;0.03912104;0.07364088;0.001930376;5.226513;0.2529962;0.1637718;0.9690253;deuteron;pi+
231;M_Hermes;1.591172;0.04930489;0.3467689;5.223411;0.2530129;0.2238235;0.1021213;deuteron;pi+
232;M_Hermes;3.76288;0.1037864;0.6268389;5.223411;0.2530129;0.2231796;0.2035578;deuteron;pi+
233;M_Hermes;4.265632;0.1364447;0.5930908;5.223411;0.2530129;0.2234327;0.299354;deuteron;pi+
234;M_Hermes;3.479937;0.1405758;0.4484876;5.223411;0.2530129;0.2241683;0.3967609;deuteron;pi+
235;M_Hermes;2.137127;0.08067677;0.3207985;5.223411;0.2530129;0.2237839;0.5157394;deuteron;pi+
236;M_Hermes;0.6665568;0.04721874;0.1349524;5.223411;0.2530129;0.2246077;0.6816;deuteron;pi+
237;M_Hermes;0.1177681;0.02618315;0.02387617;5.223411;0.2530129;0.2249691;0.8991779;deuteron;pi+
