  ,Ebeam,x,y,z,Q2,pT,obs,value,stat,systrel,systabs,target,hadron,Experiment
373,11.0,0.372720,0.474336,0.620014,3.648200,0.468445,AUT,0.0,0.034603,0.070207,0.001914,neutron,pi+,solid
374,11.0,0.284419,0.583203,0.624143,3.399200,0.686412,AUT,0.0,0.040933,0.070207,0.001632,neutron,pi+,solid
375,11.0,0.274185,0.582885,0.673778,3.288908,0.242819,AUT,0.0,0.006269,0.070207,0.001626,neutron,pi+,solid
376,11.0,0.334426,0.498725,0.672817,3.435146,0.224447,AUT,0.0,0.007053,0.070207,0.001812,neutron,pi+,solid
377,11.0,0.393680,0.468229,0.665649,3.804189,0.196746,AUT,0.0,0.033069,0.070207,0.002033,neutron,pi+,solid
378,11.0,0.280609,0.585347,0.673260,3.368305,0.541743,AUT,0.0,0.011712,0.070207,0.001644,neutron,pi+,solid
379,11.0,0.359311,0.502292,0.665791,3.724605,0.460610,AUT,0.0,0.069032,0.070207,0.001899,neutron,pi+,solid
380,11.0,0.313353,0.649945,0.323494,4.201680,0.127903,AUT,0.0,0.007880,0.070207,0.001597,neutron,pi+,solid
381,11.0,0.341675,0.630427,0.323654,4.445869,0.125266,AUT,0.0,0.008343,0.070207,0.001670,neutron,pi+,solid
382,11.0,0.367250,0.608113,0.323784,4.608027,0.122166,AUT,0.0,0.008787,0.070207,0.001741,neutron,pi+,solid
383,11.0,0.402218,0.551460,0.323815,4.573008,0.119034,AUT,0.0,0.009262,0.070207,0.001844,neutron,pi+,solid
384,11.0,0.455225,0.472453,0.323407,4.430503,0.131483,AUT,0.0,0.012501,0.070207,0.002022,neutron,pi+,solid
385,11.0,0.307388,0.657294,0.324247,4.168995,0.286974,AUT,0.0,0.011844,0.070207,0.001582,neutron,pi+,solid
386,11.0,0.332507,0.639371,0.324355,4.387958,0.287148,AUT,0.0,0.017706,0.070207,0.001646,neutron,pi+,solid
387,11.0,0.356134,0.625520,0.324294,4.597183,0.287908,AUT,0.0,0.025520,0.070207,0.001710,neutron,pi+,solid
388,11.0,0.390120,0.571839,0.324191,4.598689,0.289651,AUT,0.0,0.028718,0.070207,0.001807,neutron,pi+,solid
