i,Ebeam,x,y,z,Q2,pT,obs,value,stat,systrel,systabs,target,hadron,Experiment,Dependence
99,27.6,0.06102772,0.479995291852701,0.6928061,1.517162,0.2039072,M_Hermes,0.17234,0.004495534,0,0.02506099,deuteron,pi+,hermes,NA
100,27.6,0.06102772,0.479995291852701,0.6913152,1.517162,0.3021632,M_Hermes,0.2150313,0.005144109,0,0.03664508,deuteron,pi+,hermes,NA
101,27.6,0.06102772,0.479995291852701,0.6912073,1.517162,0.3995505,M_Hermes,0.2749209,0.006018927,0,0.04765261,deuteron,pi+,hermes,NA
102,27.6,0.06102772,0.479995291852701,0.687978,1.517162,0.5218417,M_Hermes,0.2359009,0.004540857,0,0.03596384,deuteron,pi+,hermes,NA
103,27.6,0.06102772,0.479995291852701,0.6856649,1.517162,0.6911347,M_Hermes,0.1714578,0.003745657,0,0.01150712,deuteron,pi+,hermes,NA
104,27.6,0.06102772,0.479995291852701,0.6932041,1.517162,0.9344465,M_Hermes,0.06545432,0.001544108,0,0.004533184,deuteron,pi+,hermes,NA
105,27.6,0.06102772,0.479995291852701,0.8946901,1.517162,0.09820238,M_Hermes,0.03025591,0.0009455938,0,0.002959129,deuteron,pi+,hermes,NA
106,27.6,0.06102772,0.479995291852701,0.8858265,1.517162,0.2010015,M_Hermes,0.05459606,0.001599835,0,0.007907633,deuteron,pi+,hermes,NA
107,27.6,0.06102772,0.479995291852701,0.8789186,1.517162,0.2989607,M_Hermes,0.06294597,0.001911628,0,0.01069355,deuteron,pi+,hermes,NA
108,27.6,0.06102772,0.479995291852701,0.8793141,1.517162,0.3984109,M_Hermes,0.04893523,0.001939989,0,0.008506461,deuteron,pi+,hermes,NA
109,27.6,0.06102772,0.479995291852701,0.8691197,1.517162,0.5193108,M_Hermes,0.04203111,0.00138836,0,0.006401843,deuteron,pi+,hermes,NA
110,27.6,0.06102772,0.479995291852701,0.8652191,1.517162,0.6928489,M_Hermes,0.03255646,0.001227264,0,0.002242107,deuteron,pi+,hermes,NA
111,27.6,0.06102772,0.479995291852701,0.8556075,1.517162,0.9371419,M_Hermes,0.01179692,0.000542667,0,0.0007929263,deuteron,pi+,hermes,NA
112,27.6,0.09568023,0.370227659740608,0.1420841,1.834674,0.1019956,M_Hermes,3.635825,0.04351733,0,0.7663461,deuteron,pi+,hermes,NA
113,27.6,0.09568023,0.370227659740608,0.1434929,1.834674,0.2054295,M_Hermes,7.353699,0.07489807,0,1.14207,deuteron,pi+,hermes,NA
114,27.6,0.09568023,0.370227659740608,0.1453562,1.834674,0.3039196,M_Hermes,7.786338,0.07549556,0,0.962294,deuteron,pi+,hermes,NA
115,27.6,0.09568023,0.370227659740608,0.1471038,1.834674,0.404658,M_Hermes,5.679699,0.06799769,0,0.6573988,deuteron,pi+,hermes,NA
116,27.6,0.09568023,0.370227659740608,0.1477841,1.834674,0.5303549,M_Hermes,3.216413,0.05446492,0,0.4525116,deuteron,pi+,hermes,NA
117,27.6,0.09568023,0.370227659740608,0.1570861,1.834674,0.7251793,M_Hermes,1.151275,0.05101849,0,0.2435787,deuteron,pi+,hermes,NA
118,27.6,0.09568023,0.370227659740608,0.1657153,1.834674,0.9394899,M_Hermes,0.09672484,0.03115978,0,0.02046331,deuteron,pi+,hermes,NA
119,27.6,0.09568023,0.370227659740608,0.2236012,1.834674,0.1001994,M_Hermes,1.682253,0.02756843,0,0.2111291,deuteron,pi+,hermes,NA
120,27.6,0.09568023,0.370227659740608,0.2239778,1.834674,0.2032892,M_Hermes,3.700732,0.05608426,0,0.2809977,deuteron,pi+,hermes,NA
121,27.6,0.09568023,0.370227659740608,0.2246981,1.834674,0.3024744,M_Hermes,4.29931,0.06656706,0,0.2525207,deuteron,pi+,hermes,NA
122,27.6,0.09568023,0.370227659740608,0.2251838,1.834674,0.3998591,M_Hermes,3.60815,0.05739391,0,0.1622766,deuteron,pi+,hermes,NA
123,27.6,0.09568023,0.370227659740608,0.2277549,1.834674,0.5234224,M_Hermes,2.014438,0.03405542,0,0.1160343,deuteron,pi+,hermes,NA
