# Q2	x	y	z	pT	obs	target	hadron	value	stat	systrel	systabs
3.3274E+00	2.5727E-01	6.2860E-01	4.7368E-01	2.3761E-01	AUT	proton	pi-	0.0000E+00	1.1812E-02	7.0207E-02	8.6870E-03
3.6200E+00	3.1809E-01	5.5317E-01	4.7520E-01	2.3128E-01	AUT	proton	pi-	0.0000E+00	1.3189E-02	7.0207E-02	8.5620E-03
3.4274E+00	2.7723E-01	6.0607E-01	4.7494E-01	5.8432E-01	AUT	proton	pi-	0.0000E+00	1.0599E-02	7.0207E-02	8.6480E-03
3.3807E+00	2.6969E-01	6.1066E-01	5.2360E-01	2.3955E-01	AUT	proton	pi-	0.0000E+00	1.1970E-02	7.0207E-02	8.7700E-03
3.5760E+00	3.4467E-01	5.0426E-01	5.2510E-01	2.4441E-01	AUT	proton	pi-	0.0000E+00	1.7973E-02	7.0207E-02	8.6510E-03
3.4151E+00	2.8383E-01	5.9275E-01	5.2464E-01	5.8473E-01	AUT	proton	pi-	0.0000E+00	1.1546E-02	7.0207E-02	8.7510E-03
3.4122E+00	2.8987E-01	5.7847E-01	5.7360E-01	2.4376E-01	AUT	proton	pi-	0.0000E+00	1.1934E-02	7.0207E-02	8.8820E-03
3.6162E+00	4.0134E-01	4.3686E-01	5.7491E-01	2.7313E-01	AUT	proton	pi-	0.0000E+00	5.1720E-02	7.0207E-02	8.7720E-03
3.4092E+00	2.8473E-01	5.9063E-01	5.7400E-01	5.8220E-01	AUT	proton	pi-	0.0000E+00	1.3726E-02	7.0207E-02	8.8930E-03
3.4028E+00	2.8254E-01	5.9001E-01	6.2364E-01	3.2802E-01	AUT	proton	pi-	0.0000E+00	1.2494E-02	7.0207E-02	9.0730E-03
3.5647E+00	3.7501E-01	4.6097E-01	6.2127E-01	3.0543E-01	AUT	proton	pi-	0.0000E+00	3.5029E-02	7.0207E-02	8.9900E-03
3.4011E+00	2.6838E-01	6.1980E-01	6.2372E-01	7.4391E-01	AUT	proton	pi-	0.0000E+00	3.2347E-02	7.0207E-02	9.0910E-03
3.4159E+00	2.8110E-01	5.9582E-01	6.7314E-01	3.9558E-01	AUT	proton	pi-	0.0000E+00	1.4083E-02	7.0207E-02	9.2990E-03
4.3192E+00	3.2224E-01	6.4978E-01	3.7678E-01	2.1763E-01	AUT	proton	pi-	0.0000E+00	1.8164E-02	7.0207E-02	8.3380E-03
4.7530E+00	3.6654E-01	6.2868E-01	3.8144E-01	2.1471E-01	AUT	proton	pi-	0.0000E+00	2.7382E-02	7.0207E-02	8.2620E-03
4.4384E+00	3.3450E-01	6.4386E-01	3.7853E-01	5.6781E-01	AUT	proton	pi-	0.0000E+00	2.0628E-02	7.0207E-02	8.3180E-03
4.2905E+00	3.2599E-01	6.3837E-01	4.2380E-01	2.2241E-01	AUT	proton	pi-	0.0000E+00	1.8683E-02	7.0207E-02	8.4240E-03
4.6076E+00	3.7939E-01	5.8956E-01	4.2647E-01	2.2039E-01	AUT	proton	pi-	0.0000E+00	1.8901E-02	7.0207E-02	8.3420E-03
4.4335E+00	3.5034E-01	6.1600E-01	4.2573E-01	5.7310E-01	AUT	proton	pi-	0.0000E+00	1.7356E-02	7.0207E-02	8.3880E-03
4.3447E+00	3.3503E-01	6.2944E-01	4.7376E-01	2.2697E-01	AUT	proton	pi-	0.0000E+00	1.9040E-02	7.0207E-02	8.5160E-03
4.5748E+00	4.0384E-01	5.5071E-01	4.7486E-01	2.2783E-01	AUT	proton	pi-	0.0000E+00	1.9961E-02	7.0207E-02	8.4270E-03
4.4281E+00	3.6202E-01	5.9792E-01	4.7478E-01	5.6947E-01	AUT	proton	pi-	0.0000E+00	1.7506E-02	7.0207E-02	8.4820E-03
4.3905E+00	3.4722E-01	6.1490E-01	5.2368E-01	2.3060E-01	AUT	proton	pi-	0.0000E+00	1.9010E-02	7.0207E-02	8.6310E-03
4.5804E+00	4.3376E-01	5.1330E-01	5.2396E-01	2.3881E-01	AUT	proton	pi-	0.0000E+00	2.6020E-02	7.0207E-02	8.5460E-03
4.4243E+00	3.6494E-01	5.9363E-01	5.2409E-01	5.6607E-01	AUT	proton	pi-	0.0000E+00	2.0650E-02	7.0207E-02	8.6150E-03
4.3861E+00	3.4674E-01	6.1518E-01	5.7375E-01	3.0602E-01	AUT	proton	pi-	0.0000E+00	1.9973E-02	7.0207E-02	8.8000E-03
4.5711E+00	4.3044E-01	5.1590E-01	5.7314E-01	3.0391E-01	AUT	proton	pi-	0.0000E+00	2.7084E-02	7.0207E-02	8.7420E-03
4.4162E+00	3.5762E-01	6.0232E-01	6.2352E-01	3.5040E-01	AUT	proton	pi-	0.0000E+00	2.0075E-02	7.0207E-02	9.0090E-03
4.6959E+00	4.5634E-01	4.9875E-01	6.1999E-01	2.5447E-01	AUT	proton	pi-	0.0000E+00	7.6979E-02	7.0207E-02	8.9740E-03
4.4217E+00	3.5412E-01	6.0857E-01	6.7290E-01	3.5063E-01	AUT	proton	pi-	0.0000E+00	2.5577E-02	7.0207E-02	9.2780E-03
5.3770E+00	4.0683E-01	6.4118E-01	3.7849E-01	3.0680E-01	AUT	proton	pi-	0.0000E+00	1.8203E-02	7.0207E-02	8.1830E-03
5.8516E+00	4.7364E-01	5.9866E-01	3.8999E-01	3.0864E-01	AUT	proton	pi-	0.0000E+00	7.9986E-02	7.0207E-02	8.1020E-03
5.3824E+00	4.2408E-01	6.1693E-01	4.2452E-01	2.2161E-01	AUT	proton	pi-	0.0000E+00	2.0126E-02	7.0207E-02	8.2640E-03
5.7583E+00	5.0589E-01	5.5173E-01	4.3151E-01	2.3481E-01	AUT	proton	pi-	0.0000E+00	6.4616E-02	7.0207E-02	8.1660E-03
5.4149E+00	4.3019E-01	6.1261E-01	4.2553E-01	5.5974E-01	AUT	proton	pi-	0.0000E+00	2.6104E-02	7.0207E-02	8.2570E-03
5.3683E+00	4.2601E-01	6.1286E-01	4.7386E-01	2.8603E-01	AUT	proton	pi-	0.0000E+00	2.0835E-02	7.0207E-02	8.3880E-03
5.5820E+00	5.1255E-01	5.2812E-01	4.7512E-01	3.0547E-01	AUT	proton	pi-	0.0000E+00	3.7843E-02	7.0207E-02	8.2910E-03
5.3946E+00	4.3852E-01	6.0000E-01	5.2378E-01	3.2671E-01	AUT	proton	pi-	0.0000E+00	2.0981E-02	7.0207E-02	8.5330E-03
5.6937E+00	5.4647E-01	5.0477E-01	5.2203E-01	2.7879E-01	AUT	proton	pi-	0.0000E+00	1.0833E-01	7.0207E-02	8.4300E-03
5.3975E+00	4.3655E-01	6.0290E-01	5.7339E-01	3.3786E-01	AUT	proton	pi-	0.0000E+00	2.5152E-02	7.0207E-02	8.7370E-03
5.3895E+00	4.2954E-01	6.1087E-01	6.2299E-01	3.3313E-01	AUT	proton	pi-	0.0000E+00	3.2670E-02	7.0207E-02	8.9930E-03
5.3749E+00	4.1997E-01	6.2201E-01	6.7227E-01	3.1821E-01	AUT	proton	pi-	0.0000E+00	4.4993E-02	7.0207E-02	9.3060E-03
6.5287E+00	4.9854E-01	6.3546E-01	3.8012E-01	3.2873E-01	AUT	proton	pi-	0.0000E+00	2.5230E-02	7.0207E-02	8.0280E-03
6.4922E+00	5.1978E-01	6.0715E-01	4.2491E-01	3.2615E-01	AUT	proton	pi-	0.0000E+00	2.2074E-02	7.0207E-02	8.1170E-03
6.4673E+00	5.2222E-01	6.0232E-01	4.7365E-01	3.2923E-01	AUT	proton	pi-	0.0000E+00	2.6047E-02	7.0207E-02	8.2630E-03
6.4572E+00	5.1826E-01	6.0584E-01	5.2347E-01	3.2722E-01	AUT	proton	pi-	0.0000E+00	3.2928E-02	7.0207E-02	8.4540E-03
6.4341E+00	5.1126E-01	6.1159E-01	5.7287E-01	3.2056E-01	AUT	proton	pi-	0.0000E+00	4.3024E-02	7.0207E-02	8.6940E-03
1.3322E+00	9.9794E-02	8.1044E-01	3.7883E-01	3.8853E-01	AUT	proton	pi-	0.0000E+00	1.2592E-02	7.0207E-02	1.2700E-02
1.3310E+00	1.0835E-01	7.4859E-01	4.2714E-01	3.9343E-01	AUT	proton	pi-	0.0000E+00	7.7010E-03	7.0207E-02	1.2759E-02
1.2707E+00	1.1069E-01	7.0047E-01	4.7565E-01	3.2162E-01	AUT	proton	pi-	0.0000E+00	8.5620E-03	7.0207E-02	1.2831E-02
1.7693E+00	1.6829E-01	6.3813E-01	4.7973E-01	2.9790E-01	AUT	proton	pi-	0.0000E+00	1.7776E-02	7.0207E-02	1.2730E-02
1.3388E+00	1.1571E-01	7.1032E-01	4.7683E-01	7.4340E-01	AUT	proton	pi-	0.0000E+00	1.0895E-02	7.0207E-02	1.2816E-02
1.2343E+00	1.1367E-01	6.6425E-01	5.2481E-01	3.2127E-01	AUT	proton	pi-	0.0000E+00	8.4620E-03	7.0207E-02	1.2906E-02
1.6820E+00	1.7118E-01	5.9682E-01	5.2684E-01	2.9376E-01	AUT	proton	pi-	0.0000E+00	1.2355E-02	7.0207E-02	1.2831E-02
1.3401E+00	1.2304E-01	6.7310E-01	5.2574E-01	7.5554E-01	AUT	proton	pi-	0.0000E+00	9.5070E-03	7.0207E-02	1.2884E-02
1.2383E+00	1.1960E-01	6.3532E-01	5.7451E-01	3.2301E-01	AUT	proton	pi-	0.0000E+00	8.5440E-03	7.0207E-02	1.2997E-02
1.6623E+00	1.8098E-01	5.5787E-01	5.7600E-01	2.9353E-01	AUT	proton	pi-	0.0000E+00	1.1998E-02	7.0207E-02	1.2942E-02
1.3297E+00	1.2657E-01	6.5233E-01	5.7482E-01	7.5953E-01	AUT	proton	pi-	0.0000E+00	9.7990E-03	7.0207E-02	1.2975E-02
1.2542E+00	1.2671E-01	6.0961E-01	6.2427E-01	3.2277E-01	AUT	proton	pi-	0.0000E+00	8.7330E-03	7.0207E-02	1.3118E-02
1.6746E+00	1.9444E-01	5.2334E-01	6.2526E-01	2.9592E-01	AUT	proton	pi-	0.0000E+00	1.3496E-02	7.0207E-02	1.3088E-02
1.3142E+00	1.2395E-01	6.5800E-01	6.2350E-01	7.5700E-01	AUT	proton	pi-	0.0000E+00	1.1895E-02	7.0207E-02	1.3085E-02
1.3248E+00	1.4091E-01	5.8268E-01	6.7363E-01	3.1434E-01	AUT	proton	pi-	0.0000E+00	8.5920E-03	7.0207E-02	1.3278E-02
1.8327E+00	2.3130E-01	4.8036E-01	6.6964E-01	2.4062E-01	AUT	proton	pi-	0.0000E+00	4.2371E-02	7.0207E-02	1.3220E-02
1.3047E+00	1.1724E-01	6.8656E-01	6.7287E-01	7.5471E-01	AUT	proton	pi-	0.0000E+00	1.7914E-02	7.0207E-02	1.3203E-02
2.2972E+00	2.1353E-01	6.6120E-01	4.7977E-01	4.0306E-01	AUT	proton	pi-	0.0000E+00	1.8325E-02	7.0207E-02	1.2517E-02
2.3639E+00	2.3979E-01	6.0453E-01	5.2612E-01	3.7525E-01	AUT	proton	pi-	0.0000E+00	1.1471E-02	7.0207E-02	1.2551E-02
2.3790E+00	2.5179E-01	5.7984E-01	5.7455E-01	3.6388E-01	AUT	proton	pi-	0.0000E+00	1.1447E-02	7.0207E-02	1.2689E-02
2.3686E+00	2.5445E-01	5.7235E-01	6.2346E-01	3.4743E-01	AUT	proton	pi-	0.0000E+00	1.3604E-02	7.0207E-02	1.2906E-02
2.3434E+00	2.4623E-01	5.8435E-01	6.7223E-01	3.2735E-01	AUT	proton	pi-	0.0000E+00	1.8604E-02	7.0207E-02	1.3194E-02
3.4037E+00	3.5962E-01	5.7385E-01	5.2690E-01	3.1901E-01	AUT	proton	pi-	0.0000E+00	2.6542E-02	7.0207E-02	1.2223E-02
3.3831E+00	3.6700E-01	5.5950E-01	5.7384E-01	3.0137E-01	AUT	proton	pi-	0.0000E+00	2.7011E-02	7.0207E-02	1.2436E-02
