Q2	x	y	z	pT	obs	target	hadron	value	stat	systrel	systabs
1.830393	0.252362	0.352351	0.377126	0.492821	AUT	proton	pi+	0.0	0.028386	0.070207	0.0073939999999999995
1.21865	0.08018	0.741874	0.3746	0.680025	AUT	proton	pi+	0.0	0.005983	0.070207	0.008334999999999999
1.488853	0.11443099999999999	0.633704	0.374844	0.679139	AUT	proton	pi+	0.0	0.005803	0.070207	0.008115
1.640334	0.171681	0.47288500000000006	0.375114	0.678673	AUT	proton	pi+	0.0	0.007408	0.070207	0.007778
1.421216	0.110928	0.65166	0.377182	0.866784	AUT	proton	pi+	0.0	0.010332	0.070207	0.008136
1.193495	0.098562	0.5914739999999999	0.423422	0.132675	AUT	proton	pi+	0.0	0.007736	0.070207	0.008201
1.3928260000000001	0.128865	0.524185	0.423861	0.12751400000000002	AUT	proton	pi+	0.0	0.008808	0.070207	0.008008
1.56549	0.15624200000000002	0.486167	0.42399	0.126724	AUT	proton	pi+	0.0	0.009259	0.070207	0.007840999999999999
1.692235	0.19676400000000002	0.418796	0.42410200000000003	0.12655	AUT	proton	pi+	0.0	0.010154	0.070207	0.00762
1.8156729999999999	0.25698499999999996	0.343368	0.42408100000000004	0.125637	AUT	proton	pi+	0.0	0.019961000000000003	0.070207	0.007354
1.13218	0.080693	0.682707	0.423125	0.311683	AUT	proton	pi+	0.0	0.008943000000000001	0.070207	0.008318
1.263643	0.099165	0.617855	0.42381	0.303647	AUT	proton	pi+	0.0	0.009747	0.070207	0.008198
1.3870120000000001	0.11463399999999999	0.586486	0.42400299999999996	0.300346	AUT	proton	pi+	0.0	0.009966	0.070207	0.008098000000000001
1.5022010000000001	0.13041	0.558372	0.424099	0.29754400000000003	AUT	proton	pi+	0.0	0.009175	0.070207	0.007997
1.588337	0.147816	0.521043	0.424171	0.294038	AUT	proton	pi+	0.0	0.008348999999999999	0.070207	0.007889
1.640091	0.171301	0.464794	0.42435100000000003	0.29001	AUT	proton	pi+	0.0	0.0070480000000000004	0.070207	0.007753
1.7097099999999998	0.216522	0.385363	0.42464799999999997	0.287019	AUT	proton	pi+	0.0	0.006765	0.070207	0.007526000000000001
1.872147	0.281377	0.322517	0.42476400000000003	0.289937	AUT	proton	pi+	0.0	0.024978999999999998	0.070207	0.007262
1.141324	0.078055	0.7111109999999999	0.422713	0.494504	AUT	proton	pi+	0.0	0.007836	0.070207	0.008336
1.3216	0.098634	0.649821	0.423763	0.49205299999999996	AUT	proton	pi+	0.0	0.007375	0.070207	0.008201
1.4929459999999999	0.118324	0.6118520000000001	0.42407	0.49104	AUT	proton	pi+	0.0	0.006942	0.070207	0.008073
1.61251	0.14247200000000002	0.5497770000000001	0.42434099999999997	0.488599	AUT	proton	pi+	0.0	0.0067150000000000005	0.070207	0.007921
1.679193	0.196232	0.42283999999999994	0.424604	0.487742	AUT	proton	pi+	0.0	0.006619	0.070207	0.007628
1.241783	0.087073	0.696016	0.42333699999999996	0.683937	AUT	proton	pi+	0.0	0.006146	0.070207	0.008276
