  ,Ebeam,x,y,z,Q2,pT,obs,value,stat,systrel,systabs,target,hadron,Experiment
118,11.0,0.236193,0.344670,0.473755,1.674489,0.297086,AUT,0.0,0.007993,0.070207,0.008810,proton,pi-,solid
119,11.0,0.075801,0.735421,0.473933,1.141803,0.494847,AUT,0.0,0.007043,0.070207,0.009210,proton,pi-,solid
120,11.0,0.095267,0.634664,0.474097,1.246342,0.493902,AUT,0.0,0.006361,0.070207,0.009227,proton,pi-,solid
121,11.0,0.110983,0.580178,0.474165,1.327740,0.491856,AUT,0.0,0.006739,0.070207,0.009214,proton,pi-,solid
122,11.0,0.127643,0.527736,0.474277,1.388937,0.490102,AUT,0.0,0.006973,0.070207,0.009180,proton,pi-,solid
123,11.0,0.148449,0.475875,0.474252,1.455661,0.487894,AUT,0.0,0.006990,0.070207,0.009117,proton,pi-,solid
124,11.0,0.179690,0.412898,0.474386,1.526567,0.485018,AUT,0.0,0.006621,0.070207,0.009006,proton,pi-,solid
125,11.0,0.232186,0.352367,0.474174,1.681434,0.482273,AUT,0.0,0.008022,0.070207,0.008821,proton,pi-,solid
126,11.0,0.085218,0.685296,0.475028,1.189429,0.681356,AUT,0.0,0.007106,0.070207,0.009219,proton,pi-,solid
127,11.0,0.124383,0.556564,0.475135,1.420642,0.678380,AUT,0.0,0.005738,0.070207,0.009178,proton,pi-,solid
128,11.0,0.181476,0.440436,0.475108,1.631608,0.672857,AUT,0.0,0.006268,0.070207,0.008988,proton,pi-,solid
129,11.0,0.109998,0.636160,0.475943,1.385280,0.902444,AUT,0.0,0.009931,0.070207,0.009172,proton,pi-,solid
130,11.0,0.111964,0.584309,0.523069,1.328274,0.133907,AUT,0.0,0.010481,0.070207,0.009259,proton,pi-,solid
131,11.0,0.169528,0.424970,0.523788,1.470653,0.130575,AUT,0.0,0.006922,0.070207,0.009123,proton,pi-,solid
132,11.0,0.236398,0.341763,0.523977,1.662181,0.132378,AUT,0.0,0.009769,0.070207,0.008904,proton,pi-,solid
133,11.0,0.083481,0.696549,0.523170,1.188530,0.311774,AUT,0.0,0.008722,0.070207,0.009265,proton,pi-,solid
134,11.0,0.109415,0.591495,0.523525,1.333155,0.307621,AUT,0.0,0.007728,0.070207,0.009273,proton,pi-,solid
135,11.0,0.131102,0.519085,0.523747,1.402070,0.305210,AUT,0.0,0.006790,0.070207,0.009238,proton,pi-,solid
136,11.0,0.155406,0.450405,0.523803,1.441718,0.302880,AUT,0.0,0.006576,0.070207,0.009171,proton,pi-,solid
137,11.0,0.187674,0.386904,0.523796,1.495232,0.299846,AUT,0.0,0.007075,0.070207,0.009064,proton,pi-,solid
138,11.0,0.237897,0.343707,0.523771,1.682288,0.296906,AUT,0.0,0.009912,0.070207,0.008898,proton,pi-,solid
139,11.0,0.078914,0.715958,0.523750,1.156005,0.498327,AUT,0.0,0.007141,0.070207,0.009260,proton,pi-,solid
140,11.0,0.101384,0.612640,0.523881,1.279869,0.496471,AUT,0.0,0.006449,0.070207,0.009280,proton,pi-,solid
141,11.0,0.121405,0.545950,0.524058,1.365641,0.494007,AUT,0.0,0.006852,0.070207,0.009259,proton,pi-,solid
142,11.0,0.145688,0.478247,0.524088,1.434718,0.491492,AUT,0.0,0.007262,0.070207,0.009199,proton,pi-,solid
143,11.0,0.185035,0.402693,0.523870,1.530431,0.487767,AUT,0.0,0.007416,0.070207,0.009068,proton,pi-,solid
144,11.0,0.244621,0.346874,0.522620,1.747897,0.479615,AUT,0.0,0.014919,0.070207,0.008871,proton,pi-,solid
145,11.0,0.085974,0.681045,0.524701,1.192412,0.685216,AUT,0.0,0.006857,0.070207,0.009269,proton,pi-,solid
146,11.0,0.125585,0.546282,0.524908,1.407259,0.681873,AUT,0.0,0.006237,0.070207,0.009244,proton,pi-,solid
147,11.0,0.180577,0.440253,0.524466,1.627326,0.675693,AUT,0.0,0.007088,0.070207,0.009072,proton,pi-,solid
148,11.0,0.109353,0.629968,0.525849,1.366618,0.909239,AUT,0.0,0.007230,0.070207,0.009236,proton,pi-,solid
149,11.0,0.127636,0.532300,0.573375,1.367960,0.133265,AUT,0.0,0.009648,0.070207,0.009311,proton,pi-,solid
