i,Ebeam,x,y,z,Q2,pT,obs,value,stat,systrel,systabs,target,hadron,Experiment
279,11.0,0.272658,0.448104,0.325438,2.521255,0.290867,AUT,0.0,0.010110,0.070207,0.001448,neutron,pi+,solid
280,11.0,0.295311,0.426107,0.326282,2.596438,0.290362,AUT,0.0,0.009576,0.070207,0.001488,neutron,pi+,solid
281,11.0,0.336177,0.397012,0.328868,2.749577,0.288842,AUT,0.0,0.009780,0.070207,0.001560,neutron,pi+,solid
282,11.0,0.143343,0.710011,0.324395,2.097961,0.483069,AUT,0.0,0.004435,0.070207,0.001213,neutron,pi+,solid
283,11.0,0.161580,0.658897,0.324269,2.196517,0.485622,AUT,0.0,0.006081,0.070207,0.001246,neutron,pi+,solid
284,11.0,0.177362,0.620789,0.324084,2.271820,0.487502,AUT,0.0,0.005684,0.070207,0.001276,neutron,pi+,solid
285,11.0,0.192949,0.587813,0.324004,2.340357,0.488612,AUT,0.0,0.005172,0.070207,0.001305,neutron,pi+,solid
286,11.0,0.209007,0.557425,0.323901,2.404029,0.489131,AUT,0.0,0.004827,0.070207,0.001334,neutron,pi+,solid
287,11.0,0.226337,0.525875,0.323871,2.455754,0.489951,AUT,0.0,0.004763,0.070207,0.001366,neutron,pi+,solid
288,11.0,0.246523,0.485228,0.323934,2.467495,0.490788,AUT,0.0,0.005160,0.070207,0.001402,neutron,pi+,solid
289,11.0,0.273894,0.444580,0.325174,2.511288,0.491652,AUT,0.0,0.006724,0.070207,0.001450,neutron,pi+,solid
290,11.0,0.321390,0.406512,0.327580,2.689753,0.491741,AUT,0.0,0.012431,0.070207,0.001533,neutron,pi+,solid
291,11.0,0.160887,0.662831,0.325584,2.189985,0.671524,AUT,0.0,0.003723,0.070207,0.001245,neutron,pi+,solid
292,11.0,0.206507,0.567890,0.326002,2.414599,0.667630,AUT,0.0,0.007079,0.070207,0.001330,neutron,pi+,solid
293,11.0,0.271255,0.466222,0.327662,2.585617,0.658191,AUT,0.0,0.019157,0.070207,0.001445,neutron,pi+,solid
294,11.0,0.165533,0.636495,0.373006,2.168246,0.146539,AUT,0.0,0.003242,0.070207,0.001262,neutron,pi+,solid
295,11.0,0.188999,0.579740,0.373390,2.260726,0.132805,AUT,0.0,0.003311,0.070207,0.001307,neutron,pi+,solid
296,11.0,0.203788,0.551486,0.373524,2.319339,0.128014,AUT,0.0,0.003473,0.070207,0.001335,neutron,pi+,solid
297,11.0,0.216541,0.531312,0.373672,2.374500,0.124420,AUT,0.0,0.003564,0.070207,0.001360,neutron,pi+,solid
298,11.0,0.228775,0.512843,0.373752,2.421453,0.121859,AUT,0.0,0.003677,0.070207,0.001382,neutron,pi+,solid
299,11.0,0.241162,0.493112,0.373797,2.454278,0.119925,AUT,0.0,0.003769,0.070207,0.001405,neutron,pi+,solid
300,11.0,0.254474,0.471106,0.373825,2.474123,0.118548,AUT,0.0,0.003843,0.070207,0.001429,neutron,pi+,solid
